"Carimbo de data/hora","Curso","Categorização do trabalho","Se você tivesse oportunidade, aderiria ao trabalho remoto?","Como você acredita que o trabalho remoto possa afetar os estudos?","Você acredita que a carga horária do trabalho remoto em relação ao presencial é:","Você acredita que o rendimento no trabalho remoto em relação ao presencial é?","Qual é a sua vontade de trabalhar remotamente?","Você teria algum motivo para não trabalhar remotamente?","Tipo de trabalho","Começou a trabalhar remotamente com a pandemia?","O trabalho remoto afetou os estudos?","Horas trabalhadas","Se você já trabalhou presencialmente, acredita que no trabalho remoto sua carga horária:","Qual é seu nível de satisfação com o trabalho remoto?","Você acredita que o seu rendimento com trabalho remoto é:"
"2021/05/19 3:41:22 PM GMT-3","Sistemas de Informação","Não empregado","Sim","Neutro","Menor","Menor","6","Acho que me desenvolvo melhor presencialmente","","","","","","",""
"2021/05/19 4:50:49 PM GMT-3","Engenharia Mecânica","Não empregado","Sim","Neutro","Maior","Menor","4","Eu gosto mais de trabalhar presencialmente, mas no momento atual, um trabalho remoto ajudaria.","","","","","","",""
"2021/05/19 7:03:07 PM GMT-3","Matemática Bacharelado","Não empregado","Não","Neutro","Maior","Menor","5","Nao ","","","","","","",""
"2021/05/19 7:06:36 PM GMT-3","Química Licenciatura","Empregado","Não","Neutro","Maior","Menor","1","","Presencial","","","","","",""
"2021/05/19 7:38:27 PM GMT-3","Sistemas de Informação","Empregado","","","","","","","Remoto","Sim","Neutro","6","Sem alteções","9","Maior"
"2021/05/19 7:41:47 PM GMT-3","Sistemas de Informação","Empregado","","","","","","","Remoto","Sim","Negativamente","10","Aumentou","9","Maior"
"2021/05/19 9:05:17 PM GMT-3","Sistemas de Informação","Empregado","Não","Neutro","Maior","Menor","7","Acredito que a comodidade de estar em casa afeta o desempenho no trabalho.","Presencial","","","","","",""
"2021/05/19 9:57:05 PM GMT-3","Engenharia Ambiental","Empregado","Sim","Neutro","Igual","Menor","8","","Presencial","","","","","",""
"2021/05/20 3:46:30 PM GMT-3","Física Bacharelado","Empregado","Sim","Neutro","Maior","Menor","8","Não","Presencial","","","","","",""
"2021/05/20 5:07:44 PM GMT-3","Matemática Bacharelado","Não empregado","Sim","Neutro","Menor","Maior","6","Nenhum","","","","","","",""
"2021/05/22 3:20:36 PM GMT-3","Engenharia Mecânica","Não empregado","Sim","Negativamente","Maior","Maior","6","","","","","","","",""
"2021/05/23 11:55:08 PM GMT-3","Sistemas de Informação","Empregado","","","","","","","Remoto","Sim","Neutro","6","Sem alteções","5","Igual ao presencial"
"2021/05/24 2:59:27 PM GMT-3","Engenharia Mecânica","Não empregado","Sim","Neutro","Maior","Igual","7","","","","","","","",""
"2021/05/24 3:01:02 PM GMT-3","Sistemas de Informação","Não empregado","Sim","Negativamente","Igual","Menor","3","","","","","","","",""
"2021/05/24 3:01:24 PM GMT-3","Sistemas de Informação","Não empregado","Sim","Neutro","Igual","Igual","9","","","","","","","",""
"2021/05/24 10:50:01 PM GMT-3","Engenharia de Computação","Empregado","","","","","","","Remoto","Sim","Positivamente","8","Diminuiu","10","Maior"
"2021/05/24 11:12:22 PM GMT-3","Sistemas de Informação","Empregado","Sim","Neutro","Igual","Igual","10","","Presencial","","","","","",""
"2021/05/24 11:49:33 PM GMT-3","Ciência da Computação","Empregado","","","","","","","Remoto","Sim","Negativamente","8","Aumentou","10","Maior"
"2021/05/24 11:50:18 PM GMT-3","Ciência da Computação","Empregado","","","","","","","Remoto","Não","Neutro","6","Aumentou","8","Maior"
"2021/05/24 11:51:16 PM GMT-3","Engenharia de Computação","Empregado","","","","","","","Remoto","Não","Negativamente","6","Sem alteções","9","Maior"
"2021/05/25 12:39:50 PM GMT-3","Química Bacharelado","Não empregado","Sim","Negativamente","Igual","Igual","10","conciliar a faculdade em período integral com o trabalho","","","","","","",""
"2021/05/25 12:43:44 PM GMT-3","Engenharia de Energia","Não empregado","Sim","Neutro","Igual","Maior","9","","","","","","","",""
"2021/05/25 1:34:19 PM GMT-3","Ciência da Computação","Empregado","","","","","","","Remoto","Sim","Negativamente","8","Aumentou","8","Maior"
"2021/05/25 7:53:43 PM GMT-3","Sistemas de Informação","Empregado","Sim","Neutro","Maior","Menor","8","Acredito que trabalho remoto pode ser afetado pelo excesso de conforto de estar em casa.","Presencial","","","","","",""
"2021/05/25 9:16:02 PM GMT-3","Física Bacharelado","Não empregado","Sim","Negativamente","Igual","Igual","7","Somente se exigisse muito a minha presença fisica, não seguindo assim os protocolos de saúde e podendo colocar a minha vida em risco e a dos meus familiares.","","","","","","",""
"2021/05/25 9:16:08 PM GMT-3","Sistemas de Informação","Empregado","","","","","","","Remoto","Sim","Positivamente","9","Aumentou","7","Igual ao presencial"
"2021/05/25 9:28:22 PM GMT-3","Engenharia de Produção","Empregado","","","","","","","Remoto","Sim","Negativamente","6","Aumentou","10","Maior"
"2021/05/25 9:35:31 PM GMT-3","Engenharia Química","Empregado","","","","","","","Remoto","Sim","Neutro","6","Sem alteções","10","Maior"
"2021/05/26 12:11:50 PM GMT-3","Física Bacharelado","Empregado","","","","","","","Remoto","Sim","Negativamente","10","Aumentou","8","Maior"
"2021/05/26 7:28:36 PM GMT-3","Engenharia Química","Empregado","","","","","","","Remoto","Não","Negativamente","9","Aumentou","10","Maior"
"2021/05/26 7:41:50 PM GMT-3","Química Licenciatura","Não empregado","Sim","Negativamente","Maior","Menor","1","","","","","","","",""
"2021/05/26 8:56:38 PM GMT-3","Química Licenciatura","Não empregado","Sim","Negativamente","Maior","Igual","1","","","","","","","",""
"2021/05/26 8:59:51 PM GMT-3","Matemática Bacharelado","Não empregado","Sim","Neutro","Menor","Menor","5","Por conta de ser em casa,  nao ter espaço adequado pra isso","","","","","","",""
"2021/05/26 10:24:52 PM GMT-3","Engenharia de Materiais","Empregado","","","","","","","Remoto","Não","Neutro","6","Aumentou","9","Maior"
"2021/05/26 10:50:07 PM GMT-3","Engenharia Ambiental","Não empregado","Sim","Negativamente","Maior","Menor","8","","","","","","","",""
"2021/05/27 12:34:03 AM GMT-3","Engenharia de Materiais","Empregado","","","","","","","Remoto","Não","Negativamente","8","Aumentou","8","Maior"
